http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52427,Golder Associates Ltd.,45379029,2016/09/30,423 Conseillers techniques - autres,2016/09/30 à 2017/03/31,2017/03/31,"190 723,05 $",Geotechnical engineering for detail design of retaining wall.
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52426,COWI North America Ltd.,45379028,2016/09/30,423 Conseillers techniques - autres,2016/09/30 à 2017/03/31,2017/03/31,"378 233,10 $",Civil engineering services for Haffner Creek Bridge
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52425,COWI North America Ltd.,45379027,2016/09/30,423 Conseillers techniques - autres,2016/09/30 à 2017/03/31,2017/03/31,"28 980,00 $","Civil engineering services, snow sheds"
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52424,COWI North America Ltd.,45379026,2016/09/30,423 Conseillers techniques - autres,2016/09/30 à 2017/03/31,2017/03/31,"20 908,65 $",Civil engineering serivces - debris flow chute
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52423,COWI North America Ltd.,45379025,2016/09/30,423 Conseillers techniques - autres,2016/09/30 à 2017/03/31,2017/03/31,"303 853,20 $",Civil engineering services for bridges
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52422,COWI North America Ltd.,45379024,2016/09/30,423 Conseillers techniques - autres,2016/09/30 à 2017/03/31,2017/03/31,"177 058,35 $",Civil engineering services for bridges
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52421,WSP Canada Inc.,45379023,2016/09/30,423 Conseillers techniques - autres,2016/09/30 à 2017/03/31,2017/03/31,"545 040,30 $",Construction supervision and contract administration services
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52420,BLUEWAVE ENERGY,45379010,2016/09/14,1124 Combustible diesel,2016/09/14 à 2017/03/31,2017/03/31,"19 706,72 $",17-0207 Diesel
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52419,BLUEWAVE ENERGY,45379009,2016/09/14,"1128 Autres combustibles minéraux, huiles minérales et",2016/09/14 à 2017/03/31,2017/03/31,"13 265,42 $",17-0206 Regular Fuel
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52418,BLUEWAVE ENERGY,45379006,2016/08/31,1124 Combustible diesel,2016/08/31 à 2017/03/31,2017/03/31,"17 413,67 $",17-0205 Diesel
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52417,BLUEWAVE ENERGY,45379005,2016/08/31,"1128 Autres combustibles minéraux, huiles minérales et",2016/08/31 à 2017/03/31,2017/03/31,"17 105,94 $",17-0204 Regular Fuel
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52416,Hi-Hog Farm & Ranch Equipment LTD,45379004,2016/07/29,628 Autres travaux de génie,2016/07/29 à 2017/03/31,2017/03/31,"17 178,00 $",17-0140 Bison Catch Pen Fencing
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52415,Kings County Construction Ltd.,45379003,2016/09/30,"533 Location de machinerie, de mobilier et d'installat",2016/09/30 à 2016/12/30,2016/12/30,"24 999,06 $",Equipment rental - Brackley day use remove septic tanks
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52414,General Motors of Canada Company,45379000,2016/09/30,1261 Véhicules automobiles de route,2016/09/30 à 2017/01/30,2017/01/30,"34 636,35 $",Chev Silverado Crew Cab
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52413,HFKS Architects Inc,45378998,2016/08/11,421 Services d'architecture,2016/08/11 à 2017/03/31,2017/03/31,"75 892,95 $",Visitor Reception Centre Renewal Consultant
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52412,FOUR SEASONS SPORTS LTD.,45378994,2016/09/07,"607 Routes principales, chemins et rues",2016/09/07 à 2017/03/31,2017/03/31,"30 334,70 $",FNP17-054 LINE PAINTING
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52411,Gottler Bros Truck & Exc Ltd.,45378977,2016/09/29,210 Transports d'objets non spécifiés ailleurs,2016/09/29 à 2016/10/31,2016/10/31,"18 842,25 $",Bio-solid haul from Lake Louise Waster Water Treatment Plant to Pit 69
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52410,Steelcase Canada Ltd.,45378962,2016/07/26,1231 Mobilier et ameublement du bureau incluant des piè,2016/07/26 à 2017/03/31,2017/03/31,"12 630,96 $",17-0189 Adjustable Desks
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52409,Phoenix Heli-Flight Inc.,45378957,2016/09/28,561 Location d'aéronefs,2016/09/28 à 2017/03/30,2017/03/30,"19 425,00 $",Air charter services -Whooping Crane Survey - August 2016
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52408,Interoute Construction Ltd.,45378950,2016/09/29,"607 Routes principales, chemins et rues",2016/09/29 à 2016/09/30,2016/09/30,"17 482,50 $",Prepare & Pave with 50mm hot mix
http://www.pc.gc.ca/apps/pdc/index_F.asp?oqYEAR=2016-2017&oqQUARTER=2&oqCONTRACT_ID=52407,Let's Fly International Ltd,45378941,2016/09/29,561 Location d'aéronefs,2016/09/29 à 2016/09/30,2016/09/30,"10 528,41 $",Helicopter to Jasper Rptr Site
